"Item ID","Item Code","Product ID",Status,"Has Images","Parent Visible","Current web_vis","Manual Override","Recommended Action"
2037,7240-0000,376,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2049,3600-0063,28,LTDQTY,YES,Y,1,NO,"NO ACTION - Already set to visible"
2072,4600-0015,407,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2073,4600-0016,407,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2075,4600-0018,407,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2076,4600-0019,407,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2077,4600-0020,407,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2079,4600-0022,407,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2080,4600-0023,407,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2081,4600-0024,407,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2082,1500-0001,408,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2085,1500-0004,408,LTDQTY,YES,Y,1,NO,"NO ACTION - Already set to visible"
2086,1500-0005,408,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2087,1500-0006,408,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2088,1500-0007,408,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2089,1500-0008,408,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2090,1500-0009,408,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2098,4808-7633,411,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2099,4826-7696,411,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2100,4833-7672,411,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2101,4862-7672,411,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2102,2028-0000,412,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2103,2031-0000,412,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2104,2058-0000,412,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2105,2060-0000,412,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2106,4118-6656,413,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2107,4131-6648,413,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2123,4400-0221,442,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2124,4400-0222,442,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2125,4400-0223,442,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2126,4400-0224,442,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2172,2400-0001,435,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2173,2400-0002,435,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2174,2400-0003,435,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2176,2400-0005,435,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2178,2400-0007,435,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2179,2400-0008,435,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2180,2400-0009,435,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2181,2400-0010,435,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2182,2400-0011,435,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2183,2400-0012,435,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2185,2400-0014,435,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2186,2400-0015,435,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2187,2400-0016,435,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2188,2400-0017,435,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2212,6800-1801,437,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2213,6800-1802,437,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2215,6800-1804,437,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2216,6800-1805,437,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2217,6800-1806,437,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
2218,6800-1807,437,RUN,YES,Y,1,NO,"NO ACTION - Already set to visible"
